DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
ZW201500000277,277,1808.913452,2019.7677,5.75795035,6.429120267,4167.739583,0.0,5.0,2875.75,2745.75,34.12760417,6.0,0.21933223699999999,0.504856984,0.101593161,0.112928104,0.0,1755.111979,115723.8131,55869.6308,92240.48163,786.1666667000001,587.25,327.1822917
ZW201500000278,278,6131.501465,6846.213867,19.51717533,21.79217557,4912.015665999999,2.12e-05,5.0,2977.5,2965.8,32.37075718,6.0,0.159466004,0.42862330000000004,0.058523979000000004,0.061950982,0.0009046560000000001,1619.365535,80697.60253999999,49095.1172,54726.70875,856.5,610.3333332999999,232.2558747
ZW201500000279,279,3436.1298829999996,3836.6594240000004,10.93754112,12.21246625,2640.601023,0.000772708,9.0,2220.333333,2306.25,34.36828645,3.0,0.14185125,0.378916087,0.024291469,0.02053786,0.0,1684.7391300000002,45712.42953,57214.686779999996,290630.5832,425.08333330000005,242.5,234.52941180000002
ZW201500000280,280,31813.08398,35521.34375,2531.604785,2826.698722,5059.466667000001,0.8010499659999999,10.0,2298.0,2142.0,75.8,7.0,0.059460799,0.27423643,0.017432546,0.021101872,11.01413161,1559.8,193968.6775,187719.2948,232163.6609,762.0,579.0,18.4
ZW201500000281,281,14804.267580000002,16529.91406,1178.086182,1315.408766,4987.866667,0.445099831,10.0,2935.0,2692.0,58.73333333,7.0,0.093215163,0.351504121,0.019147642,0.023186464,2.7856278189999997,1567.133333,197490.7298,189216.8524,235201.92,746.0,580.0,23.4
ZW201500000282,282,9481.480469,10668.52148,754.5122422000001,848.9739645,3898.529412,0.017029878999999998,5.0,2993.0,2855.0,63.11764706,6.0,0.253279608,0.508731257,0.086367525,0.08938498800000001,2.480372025,1848.529412,102.79315940000001,23863.730069999998,2066.6465670000002,800.0,590.0,178.1764706
ZW201500000283,283,4207.583496,4698.036133,13.39315424,14.95431347,3141.723618,0.0,8.0,2893.166667,2849.333333,25.68592965,5.0,0.13581161,0.44063916299999994,0.055640455,0.054215297,0.0,1791.427136,89462.38992,50335.16534,117057.1211,492.2,282.2,462.9020101
ZW201500000284,284,7867.612305,8785.274414,25.04338777,27.96439699,14543.27225,0.001346462,7.0,3582.916667,3512.0,30.14659686,10.0,0.256968129,0.701069882,0.134469696,0.102060829,0.059579321,1238.143979,9706.857241,7357.0215,95907.36773,1290.7,927.7,226.104712
ZW201500000285,285,23210.10352,25915.56836,1847.001352,2062.295404,4418.8,0.300802605,5.0,2849.0,2618.0,87.0,6.0,0.09784262099999999,0.32083977199999997,0.033412375,0.033298541,3.182818303,1694.733333,234207.5178,187414.1193,206401.6489,733.0,540.0,1.4
ZW201500000286,286,2347.127441,2620.7182620000003,7.471138686000001,8.342005317,3189.984694,0.0011479139999999999,9.0,2596.8,2604.6,37.89230769,4.0,0.136968162,0.37339085899999996,0.021720722,0.021211555,0.004346978,1661.808673,104287.2702,14878.35675,226629.1285,489.75,283.1666667,117.4056122
