hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,Nightlights_Composite,All_Population_Density_2015,BUILT_Population_2014,geometry,index_right,PROVINCE,PROV_CODE,HRName,HRPCode,HRParent
31,1,3,1,1,3,1,3,2,1,1,0,1,0,1,0,1,0,0,1,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,2,5,1,0,5,1,3,2,1,1,0,1,0,1,0,1,1,1,0,3,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,3,4,1,1,4,1,3,2,1,1,0,0,0,1,0,1,0,0,1,2,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,5,3,1,1,3,0,3,2,1,1,0,0,0,0,0,1,0,0,1,1,0.0,0,1,0,0,0,0.0,0.05555555555555555,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,6,7,2,1,7,4,3,2,1,1,0,1,0,1,0,1,1,0,0,3,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,7,4,1,2,4,0,3,2,1,1,0,1,0,1,0,1,1,0,0,3,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,10,7,2,2,7,0,3,2,1,1,0,1,0,1,0,1,1,1,0,4,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,12,4,1,1,4,1,3,2,1,1,0,1,0,1,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,13,4,1,0,4,1,3,2,1,1,1,1,1,1,0,1,0,0,1,1,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,14,4,2,1,4,0,3,2,1,1,0,1,0,1,0,1,1,1,0,3,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,15,5,1,1,5,0,3,2,1,1,0,1,0,1,0,1,0,1,0,1,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,16,3,1,0,3,2,3,2,1,1,1,1,0,1,0,1,0,0,1,0,1.0,1,1,0,1,0,0.0,0.5555555555555556,3,1.6666666666666667,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,17,4,1,1,4,2,3,2,1,1,0,1,0,1,0,1,0,0,1,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,18,3,1,1,3,1,3,2,1,1,0,1,0,0,0,1,1,0,0,2,2.0,1,1,0,0,0,0.0,0.38888888888888884,3,1.1666666666666665,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,20,5,1,2,4,1,3,2,1,1,0,0,0,1,0,1,0,0,1,2,0.0,0,1,0,0,0,0.0,0.1111111111111111,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,21,3,1,1,3,1,3,2,1,1,0,1,1,1,0,1,0,0,1,2,2.0,1,1,0,0,0,0.0,0.5555555555555556,3,1.6666666666666667,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,23,3,1,1,3,1,3,2,1,0,0,1,0,0,0,1,1,1,0,2,0.0,1,1,0,0,0,1.0,0.2222222222222222,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,24,5,1,1,5,1,3,2,1,1,0,1,0,1,0,1,1,0,0,3,0.0,1,1,1,0,1,0.0,0.2777777777777778,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,27,4,2,1,2,0,3,2,1,1,0,1,0,0,0,1,0,1,0,3,0.0,1,1,0,0,0,1.0,0.2222222222222222,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,28,1,1,0,1,0,3,2,1,1,0,1,1,0,0,1,0,0,1,1,0.0,0,1,0,0,0,0.0,0.16666666666666666,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
31,29,3,1,1,3,1,3,2,1,1,0,1,0,0,0,1,0,0,1,2,1.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,31,Mashonaland East,-18.145638,30.935593,0.049279712,53.3911803,0.006366952,POINT (30.935593 -18.145638),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,1,4,1,0,4,1,3,2,1,1,1,1,1,1,0,1,0,1,0,1,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,4,3,1,0,3,1,3,2,1,1,1,1,1,1,1,0,0,1,1,1,0.0,1,1,0,0,0,0.0,0.33333333333333337,3,1.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,6,8,2,2,7,1,3,2,1,1,1,1,1,1,1,1,1,1,0,2,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,7,4,1,1,4,1,3,2,1,1,1,1,1,1,1,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,13,4,1,1,4,1,3,2,1,1,1,1,1,1,1,1,0,1,0,2,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,15,7,1,1,7,1,3,2,1,1,1,1,1,1,1,1,0,1,0,1,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
47,16,5,1,1,5,3,3,2,1,1,1,1,1,1,1,0,1,1,1,4,1.0,1,1,0,0,0,0.0,0.5000000000000001,5,2.5000000000000004,47,Mashonaland East,-17.430143,32.64159,0.0,54.15527946,0.010245215,POINT (32.64159 -17.430143),8,Mashonaland East,13,Mashonaland East,ZW13,ZW
