v001,v002,b2,b3,b5,b7
16,28,2008,1298,1,
16,28,2002,1233,1,
16,29,2014,1378,1,
16,29,2012,1348,1,
17,1,2015,1386,1,
17,1,2009,1316,1,
17,1,2008,1306,0,0.0
17,1,2007,1289,1,
17,1,2004,1254,1,
17,3,2011,1338,1,
17,3,2006,1273,1,
17,3,2000,1206,1,
17,3,1994,1129,1,
17,3,1990,1089,1,
17,3,1987,1053,1,
17,3,2015,1388,1,
17,3,2015,1388,1,
17,4,2015,1389,1,
17,4,2012,1352,1,
17,4,2012,1352,1,
17,4,2006,1276,1,
17,5,2004,1255,1,
17,5,1999,1194,1,
17,5,1999,1194,1,
17,7,2003,1245,0,0.0
17,7,2002,1234,0,0.0
17,7,1999,1194,1,
17,7,1992,1108,0,12.0
17,8,1986,1036,1,
17,8,1983,1004,1,
17,8,1982,985,1,
17,8,2015,1391,1,
17,8,2013,1367,1,
17,8,2006,1274,1,
17,8,1999,1192,1,
17,10,2014,1370,1,
17,10,2009,1309,1,
17,10,2007,1288,1,
17,13,2005,1261,1,
17,13,1999,1192,1,
17,13,1995,1147,1,
17,13,1992,1111,1,
17,13,1990,1082,1,
17,16,2015,1382,1,
17,16,2012,1350,0,0.0
17,17,2012,1352,1,
17,17,2010,1328,1,
17,17,2007,1296,1,
17,18,2014,1370,1,
17,18,2009,1309,1,
17,18,2005,1270,1,
17,20,2015,1388,1,
17,20,2013,1359,1,
17,21,2010,1322,1,
17,21,2001,1213,1,
17,21,1996,1160,1,
17,24,2012,1354,1,
17,24,2007,1295,1,
17,26,2013,1368,1,
17,26,2011,1339,1,
17,26,2004,1260,1,
17,27,2004,1259,0,4.0
17,27,1993,1119,1,
17,27,1992,1107,0,9.0
17,27,1988,1064,1,
17,27,2014,1376,1,
17,27,2009,1318,1,
17,27,2008,1304,1,
17,28,2014,1374,1,
17,28,2005,1264,1,
17,28,2001,1221,1,
17,28,1994,1132,1,
17,28,1991,1095,1,
17,29,2011,1341,1,
17,29,2004,1249,1,
18,1,2010,1323,1,
18,2,2012,1356,1,
18,2,2005,1271,1,
18,2,2002,1235,1,
18,3,2013,1365,1,
18,3,2008,1303,1,
18,4,2003,1245,1,
18,4,2000,1207,1,
18,4,1998,1182,1,
18,4,1994,1137,1,
18,5,2012,1353,1,
18,5,1998,1186,1,
18,7,2013,1357,1,
18,7,2008,1307,1,
18,7,2006,1282,1,
18,9,2013,1357,1,
18,9,2015,1383,1,
18,9,2012,1352,1,
18,9,2009,1315,1,
18,11,2010,1323,1,
18,11,2004,1260,1,
18,11,2000,1205,1,
18,15,2011,1333,1,
18,15,2008,1303,1,
18,15,2004,1256,1,
18,17,2008,1300,1,
18,17,2005,1265,1,
18,17,1997,1171,1,
18,24,2015,1385,1,
18,24,2007,1293,1,
18,24,2003,1245,1,
18,24,2001,1217,1,
18,26,2010,1332,1,
18,26,2008,1305,1,
18,26,2000,1212,1,
18,26,2000,1212,1,
18,26,1997,1171,1,
18,26,1994,1140,1,
18,26,1992,1116,1,
18,27,2010,1330,1,
18,27,1990,1088,1,
18,28,2012,1348,1,
18,29,2013,1359,0,0.0
19,6,2014,1378,1,
19,6,2011,1337,1,
19,6,2009,1315,1,
19,6,2009,1315,1,
19,6,2005,1272,1,
19,6,2000,1211,1,
19,8,1997,1166,1,
19,8,1995,1141,0,24.0
19,8,1987,1045,1,
19,10,2007,1287,1,
19,12,2014,1375,1,
19,12,2013,1358,1,
19,14,2013,1358,1,
19,14,2009,1316,1,
19,14,2003,1244,1,
19,14,2001,1213,0,9.0
19,14,2000,1201,1,
19,14,1997,1167,1,
19,15,1999,1198,1,
19,15,1996,1161,1,
19,15,1991,1101,1,
19,16,2015,1388,1,
19,16,2012,1345,1,
19,16,2009,1317,1,
19,16,2007,1285,1,
19,16,2004,1254,1,
19,16,2000,1208,1,
19,16,1998,1180,1,
19,16,1995,1150,1,
19,16,1992,1108,1,
19,16,1990,1083,1,
19,16,1988,1065,1,
19,20,2012,1354,1,
19,20,2010,1330,1,
19,23,2011,1333,1,
19,25,1998,1183,1,
19,25,1993,1122,1,
19,25,1990,1085,1,
19,26,2013,1364,1,
19,26,2010,1332,1,
20,1,2015,1387,0,0.0
20,1,2013,1358,0,23.0
20,1,2010,1327,1,
20,1,2008,1301,1,
20,3,2013,1362,1,
20,3,2010,1328,1,
20,4,2005,1263,1,
20,4,2000,1211,1,
20,4,1998,1182,1,
20,4,1996,1153,1,
20,5,2012,1348,1,
20,5,2009,1318,1,
20,8,2005,1265,1,
20,8,2002,1233,1,
20,8,1995,1149,1,
20,10,2008,1304,1,
20,10,2006,1274,1,
20,10,2003,1243,1,
20,10,1998,1186,1,
20,11,2015,1384,1,
20,11,2012,1350,1,
20,11,2010,1330,1,
20,14,2014,1376,1,
20,14,2012,1351,1,
20,14,2010,1323,1,
20,14,2008,1306,0,0.0
20,14,2015,1383,1,
20,14,2013,1358,0,10.0
20,15,2014,1372,1,
20,15,2011,1344,1,
20,15,2009,1319,1,
20,16,2010,1321,1,
20,16,2007,1290,1,
20,19,2012,1351,1,
20,19,2008,1303,1,
20,19,2004,1253,1,
20,19,2002,1228,1,
20,21,2010,1327,1,
20,21,2008,1301,1,
20,21,2005,1261,1,
20,22,2002,1230,1,
20,22,2000,1205,1,
20,22,1995,1146,1,
20,22,1993,1118,0,120.0
20,23,2010,1321,1,
20,23,2008,1300,1,
20,23,2004,1260,1,
20,23,2002,1234,1,
20,23,1998,1177,1,
20,25,2015,1387,1,
20,25,2008,1307,1,
20,25,2007,1285,0,1.0
20,25,2006,1276,1,
20,25,2002,1229,1,
20,25,1999,1193,1,
20,27,2012,1355,1,
21,1,2003,1241,1,
21,1,1998,1177,1,
21,5,2010,1325,1,
21,5,2004,1258,1,
21,5,1999,1194,1,
21,6,2015,1385,1,
21,6,2013,1358,1,
21,6,2009,1320,1,
21,6,2006,1278,1,
21,6,2004,1259,0,9.0
21,9,2015,1384,1,
21,9,2009,1319,1,
21,18,2013,1364,1,
21,18,2010,1327,1,
21,19,2014,1374,0,0.0
21,19,2007,1291,1,
21,19,2003,1245,1,
21,19,2002,1234,0,0.0
21,22,2014,1369,1,
21,22,2009,1319,1,
21,22,2006,1281,1,
22,3,2013,1366,1,
22,3,2010,1332,1,
22,4,2012,1351,1,
22,4,2002,1227,1,
22,5,2010,1328,1,
22,5,2006,1280,1,
22,5,1998,1184,1,
22,5,1996,1160,1,
22,5,1994,1129,1,
22,5,1991,1101,1,
22,5,1988,1064,1,
22,6,2000,1204,1,
22,6,1992,1110,1,
22,6,1988,1059,1,
22,6,1985,1022,1,
22,7,2015,1382,1,
22,8,2015,1389,1,
22,10,2012,1355,1,
22,10,2003,1238,0,108.0
22,10,2000,1211,1,
22,10,1997,1166,1,
22,10,1994,1132,1,
22,11,2012,1346,1,
22,11,2007,1293,1,
22,11,2004,1256,1,
22,11,2001,1224,1,
22,12,2010,1327,1,
22,12,2007,1293,1,
22,12,2004,1250,1,
22,13,2015,1386,1,
22,13,2006,1283,1,
22,13,2002,1227,1,
22,13,1994,1131,1,
22,13,1992,1109,1,
22,13,2015,1387,1,
22,15,2009,1311,1,
22,15,2006,1278,1,
